idx,scaleName,notes
01,メジャー・スケール,"0,2,4,5,7,9,11,12"
02,ナチュラル・マイナー・スケール,"0,2,3,5,7,8,10,12"
03,ハーモニック・マイナー・スケール,"0,2,3,5,7,8,11,12"
04,メロディック・マイナー・スケール,"0,2,3,5,7,9,11,12"
05,アイオニアン・スケール,"0,2,4,5,7,9,11,12"
06,ドリアン・スケール,"0,2,3,5,7,9,10,12"
07,フリジアン・スケール,"0,1,3,5,7,8,10,12"
08,リディアン・スケール,"0,2,4,6,7,9,11,12"
09,ミクソリディアン・スケール,"0,2,4,5,7,9,10,12"
10,エオリアン・スケール,"0,2,3,5,7,8,10,12"
11,ロクリアン・スケール,"0,1,3,5,6,8,10,12"
12,エオリアン・スケール,"0,2,3,5,7,8,10,12"
13,ロクリアン・スケール,"0,1,3,5,6,8,10,12"
14,アイオニアン・スケール,"0,2,4,5,7,9,11,12"
15,ドリアン・スケール,"0,2,3,5,7,9,10,12"
16,フリジアン・スケール,"0,1,3,5,7,8,10,12"
17,リディアン・スケール,"0,2,4,6,7,9,11,12"
18,ミクソリディアン・スケール,"0,2,4,5,7,9,10,12"
19,ハーモニック・マイナー・スケール,"0,2,3,5,7,8,11,12"
20,ロクリアン♮6・スケール,"0,1,3,5,6,9,10,12"
21,アイオニアン♯5・スケール,"0,2,4,5,8,9,11,12"
22,ドリアン♯4・スケール,"0,2,3,6,7,9,10,12"
23,ハーモニック・マイナー・パーフェクト5th・ビロウ・スケール,"0,1,4,5,7,8,10,12"
24,リディアン♯2・スケール,"0,3,4,6,7,9,11,12"
25,スーパー・ロクリアン♭7・スケール,"0,1,3,4,6,8,9,12"
26,メロディック・マイナー・スケール,"0,2,3,5,7,9,11,12"
27,ドリアン♭2・スケール,"0,1,3,5,7,9,10,12"
28,リディアン♯5・スケール,"0,2,4,6,8,9,11,12"
29,リディアン♭7・スケール,"0,2,4,6,7,9,10,12"
30,ミクソリディアン♭6・スケール,"0,2,4,5,7,8,10,12"
31,エオリアン♭5・スケール,"0,2,3,5,6,8,10,12"
32,ロクリアン♭4・スケール,"0,1,3,4,6,8,10,12"
33,ホールトーン・スケール,"0,2,4,6,8,10,12"
34,ディミニッシュト・スケール,"0,2,3,5,6,8,9,11,12"
35,コンビネーション・オブ・ディミニッシュト・スケール,"0,1,3,4,6,7,9,10,12"
36,クロマティック・スケール,"0,1,2,3,4,5,6,7,8,9,10,11,12"
37,シンメトリック・オーギュメント・スケール,"0,3,4,7,8,11,12"
38,マイナー・ペンタトニック・スケール,"0,3,5,7,10,12"
39,メジャー・ペンタトニック・スケール,"0,2,4,7,9,12"
40,メジャー・ブルース・スケール,"0,2,3,4,7,9,12"
41,マイナー・ブルース・スケール,"0,3,5,6,7,10,12"
42,ブルー・ノート・スケール,"0,2,3,4,5,6,7,9,10,11,12"
43,ハンガリー・スケール,"0,2,3,6,7,8,11,12"
44,ジプシー・スケール,"0,1,4,5,7,8,11,12"
45,スパニッシュ・スケール,"0,1,4,5,7,8,10,12"
46,スパニッシュ・8ノート・スケール,"0,1,3,4,5,7,8,10,12"
47,マカーム・ラースト,"0,2,3,5,7,9,10,12"
48,マカーム・ナハーワンド,"0,2,3,5,7,8,11,12"
49,マカーム・ナワサル,"0,2,3,6,7,8,11,12"
50,マカーム・ナグリーズ,"0,2,3,6,7,9,10,12"
51,マカーム・ヒジャーズカル,"0,1,4,5,7,8,11,12"
52,マカーム・バヤーティー,"0,1,3,5,7,8,10,12"
53,マカーム・サバー,"0,1,3,4,7,8,10,12"
54,マカーム・ヒジャーズィー,"0,1,4,5,7,8,10,12"
55,マカーム・クルディー,"0,1,3,5,7,8,10,12"
56,マカーム・スィカ,"0,2,4,6,7,9,11,12"
57,マカーム・フザム,"0,2,4,5,8,9,11,12"
58,ビラーヴァル・タート,"0,2,4,5,7,9,11,12"
59,カマージ・タート,"0,2,4,5,7,9,10,12"
60,カーフィー・タート,"0,2,3,5,7,9,10,12"
61,アサーワリー・タート,"0,2,3,5,7,8,10,12"
62,バイラヴ・タート,"0,1,4,5,7,8,11,12"
63,バイラヴィ・タート,"0,1,3,5,7,8,10,12"
64,カリヤーン・タート,"0,2,4,6,7,9,11,12"
65,マールワー・タート,"0,1,4,6,7,9,11,12"
66,プールヴィー・タート,"0,1,4,6,7,8,11,12"
67,トーディー・タート,"0,1,3,6,7,8,11,12"
68,宮調式,"0,2,4,7,9,12"
69,商調式,"0,2,5,7,10,12"
70,角調式,"0,3,5,8,10,12"
71,徴調式,"0,2,5,7,9,12"
72,羽調式,"0,3,5,7,10,12"
73,呂旋法(雅楽),"0,2,4,7,9,12"
74,律旋法(雅楽),"0,2,5,7,9,12"
75,陽旋法・田舎節(俗楽),"0,2,5,7,10,12"
76,陰旋法・都節(俗楽),"0,1,5,7,10,12"
77,琉球音階,"0,4,5,7,11,12"
78,ヨナ抜き長音階,"0,2,4,7,9,12"
79,ヨナ抜き短音階,"0,2,3,7,8,12"
80,ニロ抜き短音階,"0,3,5,7,10,12"
81,ニロ抜き長音階,"0,4,5,7,11,12"
82,雲井音階,"0,2,3,7,9,12"
83,岩戸音階,"0,1,5,6,10,12"
84,スレンドロ・スケール,"0,2,4,7,9,12"
85,スレンドロ・スケール-2,"0,2,5,7,9,12"
86,スレンドロ・スケール-3,"0,2,5,7,10,12"
87,スレンドロ・スケール-4,"0,3,5,7,10,12"
88,ペロッグ・スケール,"0,1,3,7,8,12"
89,ペロッグ・スケール-2,"0,1,3,6,8,12"
